Pegelname,,Pegelnummer,km,,PNP,Datum,,Uhrzeit,,Wasserstand,Wasserstand + PNP,,,
,,,,,,,,,,relativ zum PNP,absolut über Null,,,
AFFOLDERN,,42800502,"44,02",,"193,19 m. ü. NN",23.11.2024,,5:00,,138 cm,"194,56 m. ü. NN",,,
EDERTALSPERRE,,42800310,"49,20",,"0,08 m. ü. NN",23.11.2024,,5:00,,,"232,35 m+PNP",,,
SCHMITTLOTHEIM,,42800309,"74,50",,"245,87 m. ü. NN",23.11.2024,,5:00,,154 cm,"247,41 m. ü. NN",,,
 EIDER,,,,,,,,,,,,,,
LEXFÄHRE OBERWASSER,,9520020,"26,09",,"-5,00 m. ü. NHN",23.11.2024,,5:03,,469 cm,"-0,31 m. ü. NHN",,,
LEXFÄHRE UNTERWASSER,,9520030,"26,09",,"-5,00 m. ü. NHN",23.11.2024,,5:03,,507 cm,"0,07 m. ü. NHN",,,
NORDFELD OBERWASSER,,9520040,"78,19",,"-5,01 m. ü. NHN",23.11.2024,,5:03,,506 cm,"0,05 m. ü. NHN",,,
NORDFELD UNTERWASSER,,9520050,"78,31",,"-5,01 m. ü. NHN",23.11.2024,,5:03,,646 cm,"1,45 m. ü. NHN",,,
FRIEDRICHSTADT STRASSENBRÜCKE,,9520060,"83,14",,"-5,02 m. ü. NHN",23.11.2024,,5:03,,647 cm,"1,45 m. ü. NHN",,,
TÖNNING,,9520070,"99,80",,"-5,06 m. ü. NHN",23.11.2024,,5:03,,659 cm,"1,53 m. ü. NHN",,,
EIDER-SPERRWERK BP,,9520081,"110,10",,"-5,02 m. ü. NHN",23.11.2024,,5:03,,661 cm,"1,59 m. ü. NHN",,,
 ELBE,,,,,,,,,,,,,,
SCHÖNA,,501010,"2,05",,"116,20 m. ü. NHN",23.11.2024,,5:00,,173 cm,"117,93 m. ü. NHN",,,
PIRNA,,501040,"34,67",,"108,03 m. ü. NHN",23.11.2024,,5:00,,196 cm,"109,99 m. ü. NHN",,,
DRESDEN,,501060,"55,63",,"102,70 m. ü. NHN",23.11.2024,,5:00,,161 cm,"104,31 m. ü. NHN",,,
MEISSEN,,501080,"82,20",,"94,82 m. ü. NHN",23.11.2024,,5:00,,214 cm,"96,96 m. ü. NHN",,,
RIESA,,501110,"108,40",,"88,02 m. ü. NHN",23.11.2024,,5:00,,233 cm,"90,35 m. ü. NHN",,,
MÜHLBERG,,501160,"128,02",,"81,69 m. ü. NHN",23.11.2024,,5:00,,264 cm,"84,33 m. ü. NHN",,,
TORGAU,,501261,"154,15",,"75,16 m. ü. NHN",23.11.2024,,5:00,,163 cm,"76,79 m. ü. NHN",,,
PRETZSCH-MAUKEN,,501330,"184,45",,"68,79 m. ü. NHN",23.11.2024,,5:00,,144 cm,"70,23 m. ü. NHN",,,
ELSTER,,501390,"200,15",,"65,80 m. ü. NHN",23.11.2024,,5:00,,132 cm,"67,12 m. ü. NHN",,,
WITTENBERG,,501420,"214,14",,"62,45 m. ü. NHN",23.11.2024,,5:00,,184 cm,"64,29 m. ü. NHN",,,
COSWIG,,501470,"236,31",,"57,60 m. ü. NHN",23.11.2024,,5:00,,203 cm,"59,63 m. ü. NHN",,,
VOCKERODE,,501480,"245,62",,"55,95 m. ü. NHN",23.11.2024,,5:00,,165 cm,"57,60 m. ü. NHN",,,
ROSSLAU,,501490,"257,84",,"53,85 m. ü. NHN",23.11.2024,,5:00,,128 cm,"55,13 m. ü. NHN",,,
DESSAU,,502000,"261,16",,"52,96 m. ü. NHN",23.11.2024,,5:00,,160 cm,"54,56 m. ü. NHN",,,
AKEN,,502010,"274,75",,"50,22 m. ü. NHN",23.11.2024,,5:00,,145 cm,"51,67 m. ü. NHN",,,
BARBY,,502070,"294,82",,"46,12 m. ü. NHN",23.11.2024,,5:00,,160 cm,"47,73 m. ü. NHN",,,
SCHÖNEBECK,,502130,"311,76",,"42,71 m. ü. NHN",23.11.2024,,5:00,,191 cm,"44,62 m. ü. NHN",,,
MAGDEBURG-BUCKAU,,502170,"325,39",,"40,39 m. ü. NHN",23.11.2024,,5:00,,185 cm,"42,24 m. ü. NHN",,,
MAGDEBURG-STROMBRÜCKE,,502180,"326,67",,"39,90 m. ü. NHN",23.11.2024,,5:00,,143 cm,"41,33 m. ü. NHN",,,
ROTHENSEE,,502210,"333,12",,"37,20 m. ü. NHN",23.11.2024,,5:00,,209 cm,"39,29 m. ü. NHN",,,
NIEGRIPP AP,,502240,"343,60",,"34,41 m. ü. NHN",23.11.2024,,5:00,,320 cm,"37,61 m. ü. NHN",,,
ROGÄTZ,,502250,"350,64",,"35,22 m. ü. NHN",23.11.2024,,5:00,,128 cm,"36,50 m. ü. NHN",,,
TANGERMÜNDE,,502350,"388,26",,"27,56 m. ü. NHN",23.11.2024,,5:00,,233 cm,"29,89 m. ü. NHN",,,
STORKAU,,502370,"396,11",,"25,87 m. ü. NHN",23.11.2024,,4:45,,267 cm,"28,54 m. ü. NHN",,,
SANDAU,,502430,"416,06",,"22,45 m. ü. NHN",23.11.2024,,5:00,,269 cm,"25,14 m. ü. NHN",,,
SCHARLEUK,,503030,"447,22",,"17,57 m. ü. NHN",22.11.2024,,6:00,,219 cm,"19,76 m. ü. NHN",,,
WITTENBERGE,,503050,"453,98",,"16,71 m. ü. NHN",23.11.2024,,5:00,,206 cm,"18,77 m. ü. NHN",,,
MÜGGENDORF,,503070,"463,94",,"15,14 m. ü. NHN",23.11.2024,,5:00,,220 cm,"17,34 m. ü. NHN",,,
SCHNACKENBURG,,5910010,"474,56",,"13,69 m. ü. NHN",23.11.2024,,4:45,,213 cm,"15,82 m. ü. NHN",,,
LENZEN,,503120,"484,70",,"12,41 m. ü. NHN",23.11.2024,,5:00,,196 cm,"14,37 m. ü. NHN",,,
GORLEBEN,,5910020,"492,95",,"11,31 m. ü. NHN",23.11.2024,,5:00,,147 cm,"12,78 m. ü. NHN",,,
DÖMITZ,,5910025,"504,70",,"10,40 m. ü. NHN",23.11.2024,,5:03,,136 cm,"11,76 m. ü. NHN",,,
DAMNATZ,,5910030,"509,35",,"8,88 m. ü. NHN",23.11.2024,,5:03,,230 cm,"11,18 m. ü. NHN",,,
HITZACKER,,5920010,"522,64",,"7,37 m. ü. NHN",23.11.2024,,5:03,,196 cm,"9,33 m. ü. NHN",,,
NEU DARCHAU,,5930010,"536,38",,"5,66 m. ü. NHN",23.11.2024,,5:03,,200 cm,"7,66 m. ü. NHN",,,
BLECKEDE,,5930020,"549,63",,"-0,02 m. ü. NHN",23.11.2024,,5:03,,615 cm,"6,12 m. ü. NHN",,,
BOIZENBURG,,5930033,"558,53",,"3,77 m. ü. NHN",23.11.2024,,5:03,,135 cm,"5,12 m. ü. NHN",,,
HOHNSTORF,,5930040,"568,99",,"-0,03 m. ü. NHN",23.11.2024,,5:03,,448 cm,"4,44 m. ü. NHN",,,
ARTLENBURG,,5930050,"573,86",,"-0,03 m. ü. NHN",23.11.2024,,5:03,,429 cm,"4,26 m. ü. NHN",,,
GEESTHACHT,,5930060,"583,39",,"-0,02 m. ü. NHN",23.11.2024,,5:03,,407 cm,"4,04 m. ü. NHN",,,
WEHR GEESTHACHT UP,,5930062,"585,99",,"-5,02 m. ü. NHN",23.11.2024,,5:03,,512 cm,"0,10 m. ü. NHN",,,
ALTENGAMME,,5930070,"588,79",,"-5,02 m. ü. NHN",23.11.2024,,5:03,,494 cm,"-0,08 m. ü. NHN",,,
ZOLLENSPIEKER,,5930090,"598,16",,"-5,04 m. ü. NHN",23.11.2024,,5:03,,480 cm,"-0,24 m. ü. NHN",,,
BUNTHAUS,,5952020,"609,90",,"-5,02 m. ü. NHN",23.11.2024,,5:02,,535 cm,"0,33 m. ü. NHN",,,
HAMBURG-HARBURG,,5952025,"615,00",,"-5,02 m. ü. NHN",23.11.2024,,5:02,,561 cm,"0,60 m. ü. NHN",,,
SCHÖPFSTELLE,,5952030,"615,30",,"-5,02 m. ü. NHN",23.11.2024,,5:02,,553 cm,"0,51 m. ü. NHN",,,
HAMBURG ST. PAULI,,5952050,"623,10",,"-5,00 m. ü. NHN",23.11.2024,,5:02,,573 cm,"0,73 m. ü. NHN",,,
SEEMANNSHÖFT,,5952060,"628,90",,"-5,02 m. ü. NHN",23.11.2024,,5:02,,577 cm,"0,75 m. ü. NHN",,,
CRANZ,,5950070,"634,42",,"-5,05 m. ü. NHN",23.11.2024,,5:03,,589 cm,"0,84 m. ü. NHN",,,
BLANKENESE UF,,5952065,"635,00",,"-5,02 m. ü. NHN",23.11.2024,,5:02,,581 cm,"0,79 m. ü. NHN",,,
SCHULAU,,5950090,"641,00",,"-5,03 m. ü. NHN",23.11.2024,,5:03,,596 cm,"0,92 m. ü. NHN",,,
LÜHORT,,5960010,"645,50",,"-5,03 m. ü. NHN",23.11.2024,,5:03,,606 cm,"1,03 m. ü. NHN",,,
HETLINGEN,,5970010,"650,50",,"-5,04 m. ü. NHN",23.11.2024,,5:03,,612 cm,"1,08 m. ü. NHN",,,
STADERSAND,,5970013,"654,86",,"-5,05 m. ü. NHN",23.11.2024,,5:03,,614 cm,"1,10 m. ü. NHN",,,
PINNAU-SPERRWERK AP,,5970019,"658,44",,"-5,03 m. ü. NHN",23.11.2024,,5:03,,624 cm,"1,21 m. ü. NHN",,,
GRAUERORT REEDE,,5970026,"660,74",,"-5,04 m. ü. NHN",23.11.2024,,5:03,,623 cm,"1,20 m. ü. NHN",,,
KRÜCKAU-SPERRWERK AP,,5970024,"663,30",,"-5,03 m. ü. NHN",23.11.2024,,5:02,,629 cm,"1,26 m. ü. NHN",,,
KOLLMAR,,5970025,"666,90",,"-5,04 m. ü. NHN",23.11.2024,,5:03,,642 cm,"1,38 m. ü. NHN",,,
KRAUTSAND REEDE,,5970031,"671,79",,"-5,03 m. ü. NHN",23.11.2024,,5:03,,651 cm,"1,48 m. ü. NHN",,,
GLÜCKSTADT,,5970035,"674,00",,"-5,03 m. ü. NHN",23.11.2024,,5:03,,652 cm,"1,49 m. ü. NHN",,,
STÖR-SPERRWERK AP,,5970041,"678,64",,"-5,03 m. ü. NHN",23.11.2024,,5:03,,656 cm,"1,53 m. ü. NHN",,,
BROKDORF,,5970050,"684,20",,"-5,04 m. ü. NHN",23.11.2024,,5:03,,668 cm,"1,65 m. ü. NHN",,,
BRUNSBÜTTEL MPM,,5970094,"695,21",,"-5,00 m. ü. NHN",23.11.2024,,5:03,,678 cm,"1,78 m. ü. NHN",,,
OSTERIFF MPM,,5970096,"703,44",,"-5,02 m. ü. NHN",23.11.2024,,5:03,,684 cm,"1,82 m. ü. NHN",,,
OTTERNDORF MPM,,5990011,"714,02",,"-5,02 m. ü. NHN",23.11.2024,,5:03,,687 cm,"1,85 m. ü. NHN",,,
