Pegelname,,Pegelnummer,km,,PNP,Datum,,Uhrzeit,,Wasserstand,Wasserstand + PNP,,,
,,,,,,,,,,relativ zum PNP,absolut über Null,,,
LÜNE,,5940020,"1,50",,"5,65 m. ü. NHN",23.11.2024,,5:00,,99 cm,"6,64 m. ü. NHN",,,
BARDOWICK OP,,5940029,"5,62",,"0,01 m. ü. NHN",23.11.2024,,5:03,,634 cm,"6,35 m. ü. NHN",,,
BARDOWICK UP,,5940030,"5,69",,"0,01 m. ü. NHN",23.11.2024,,5:03,,533 cm,"5,33 m. ü. NHN",,,
WITTORF OP,,5940049,"12,20",,"-0,02 m. ü. NHN",23.11.2024,,5:03,,493 cm,"4,91 m. ü. NHN",,,
WITTORF UP,,5940050,"12,30",,"-0,02 m. ü. NHN",23.11.2024,,5:03,,309 cm,"3,07 m. ü. NHN",,,
FAHRENHOLZ OP,,5940070,"17,64",,"-4,99 m. ü. NHN",23.11.2024,,5:01,,788 cm,"2,89 m. ü. NHN",,,
FAHRENHOLZ UP,,5940060,"17,71",,"-4,99 m. ü. NHN",23.11.2024,,5:03,,591 cm,"0,92 m. ü. NHN",,,
ILMENAU SPERRWERK AP,,5940080,"28,47",,"-5,02 m. ü. NHN",23.11.2024,,5:03,,490 cm,"-0,11 m. ü. NHN",,,
 ITTER ZUR DIEMEL,,,,,,,,,,,,,,
KOTTHAUSEN,,44100013,"3,40",,"377,68 m. ü. NN",23.11.2024,,5:00,,27 cm,"377,95 m. ü. NN",,,
 ITTER ZUR EDER,,,,,,,,,,,,,,
HERZHAUSEN,,42800218,"1,30",,"260,02 m. ü. NHN",23.11.2024,,5:00,,78 cm,"260,80 m. ü. NHN",,,
 JADE,,,,,,,,,,,,,,
WHV ALTER VORHAFEN,,9440020,"1,56",,"-5,04 m. ü. NHN",23.11.2024,,5:03,,722 cm,"2,18 m. ü. NHN",,,
WHV NEUER VORHAFEN,,9440030,"4,05",,"-5,02 m. ü. NHN",23.11.2024,,5:03,,712 cm,"2,10 m. ü. NHN",,,
JADE-WESER-PORT,,9430050,"11,60",,"-5,02 m. ü. NHN",23.11.2024,,5:03,,705 cm,"2,03 m. ü. NHN",,,
HOOKSIELPLATE,,9430020,"18,10",,"-5,04 m. ü. NHN",23.11.2024,,5:03,,696 cm,"1,92 m. ü. NHN",,,
SCHILLIG,,9430030,"24,14",,"-5,02 m. ü. NHN",23.11.2024,,5:03,,692 cm,"1,90 m. ü. NHN",,,
MELLUMPLATE,,9420010,"31,13",,"-5,04 m. ü. NHN",23.11.2024,,5:03,,672 cm,"1,68 m. ü. NHN",,,
WANGEROOGE OST,,9420020,"35,00",,"-5,01 m. ü. NHN",23.11.2024,,5:03,,664 cm,"1,63 m. ü. NHN",,,
WANGEROOGE NORD,,9420030,"41,05",,"-5,04 m. ü. NHN",23.11.2024,,5:03,,659 cm,"1,55 m. ü. NHN",,,
WANGEROOGE WEST,,9420040,"43,21",,"-5,05 m. ü. NHN",23.11.2024,,5:03,,666 cm,"1,61 m. ü. NHN",,,
 KLEINES HAFF,,,,,,,,,,,,,,
KARNIN,,9690084,"0,00",,"-4,98 m. ü. NHN",23.11.2024,,5:03,,530 cm,"0,33 m. ü. NHN",,,
UECKERMÜNDE,,9690088,"0,00",,"-4,98 m. ü. NHN",23.11.2024,,5:03,,532 cm,"0,34 m. ü. NHN",,,
 KRÜCKAU,,,,,,,,,,,,,,
ELMSHORN HAFEN,,5970022,"0,03",,"-5,01 m. ü. NHN",23.11.2024,,5:03,,615 cm,"1,14 m. ü. NHN",,,
KRÜCKAU-SPERRWERK BP,,5970023,"10,50",,"-5,03 m. ü. NHN",23.11.2024,,5:02,,629 cm,"1,26 m. ü. NHN",,,
 KÜSTENKANAL,,,,,,,,,,,,,,
HUNDSMÜHLEN,,4960020,"5,19",,,23.11.2024,,5:03,,509 cm,,,,
HILKENBROOK,,3800010,"41,19",,"-0,02 m. ü. NHN",23.11.2024,,5:00,,506 cm,"5,04 m. ü. NHN",,,
 LAHN,,,,,,,,,,,,,,
MARBURG,,25830056,"-38,70",,"173,67 m. ü. NN",23.11.2024,,3:30,,238 cm,"176,05 m. ü. NN",,,
GIESSEN KLÄRWERK,,25800100,"-3,20",,"149,99 m. ü. NHN",23.11.2024,,5:00,,350 cm,"153,49 m. ü. NHN",,,
NIEDERBIEL SCHLEUSE KANAL OP,,25800177,"19,30",,,23.11.2024,,5:00,,438 cm,,,,
LEUN NEU,,25800200,"25,10",,"134,99 m. ü. NHN",23.11.2024,,5:00,,287 cm,"137,86 m. ü. NHN",,,
LIMBURG SCHLEUSE UP,,25800440,"76,60",,,23.11.2024,,5:00,,146 cm,,,,
DIEZ HAFEN,,25800500,"83,70",,"101,26 m. ü. NHN",23.11.2024,,5:00,,193 cm,"103,19 m. ü. NHN",,,
KALKOFEN NEU,,25800600,"106,40",,"86,40 m. ü. NHN",23.11.2024,,5:00,,295 cm,"89,35 m. ü. NHN",,,
LAHNSTEIN SCHLEUSE UP,,25800800,"136,00",,"58,81 m. ü. NHN",23.11.2024,,5:00,,295 cm,"61,76 m. ü. NHN",,,
 LANDWEHRKANAL,,,,,,,,,,,,,,
BERLIN-UNTERSCHLEUSE UP,,586630,"1,61",,"28,00 m. ü. NHN",23.11.2024,,5:00,,273 cm,"30,73 m. ü. NHN",,,
BERLIN-UNTERSCHLEUSE OP,,586620,"1,71",,"28,00 m. ü. NHN",23.11.2024,,5:00,,404 cm,"32,04 m. ü. NHN",,,
BERLIN-OBERSCHLEUSE UP,,586610,"10,51",,"27,99 m. ü. NHN",23.11.2024,,5:00,,405 cm,"32,04 m. ü. NHN",,,
BERLIN-OBERSCHLEUSE OP,,586600,"10,62",,"27,99 m. ü. NHN",23.11.2024,,5:00,,436 cm,"32,35 m. ü. NHN",,,
 LEDA,,,,,,,,,,,,,,
DREYSCHLOOT,,3880010,"0,73",,"-5,02 m. ü. NHN",23.11.2024,,5:03,,517 cm,"0,15 m. ü. NHN",,,
LEDASPERRWERK UP,,3880050,"21,12",,"-5,02 m. ü. NHN",23.11.2024,,5:03,,732 cm,"2,30 m. ü. NHN",,,
 LEINE,,,,,,,,,,,,,,
SCHWARMSTEDT,,48800301,"6,20",,"21,00 m. ü. NN",23.11.2024,,5:00,,278 cm,"23,78 m. ü. NN",,,
NEUSTADT,,48800200,"45,74",,"31,29 m. ü. NN",23.11.2024,,5:00,,268 cm,"33,97 m. ü. NN",,,
HERRENHAUSEN,,48800108,"87,07",,"43,81 m. ü. NN",23.11.2024,,2:30,,259 cm,"46,40 m. ü. NN",,,
 LESUM,,,,,,,,,,,,,,
WASSERHORST,,4930010,"2,30",,"-5,00 m. ü. NHN",23.11.2024,,5:03,,687 cm,"1,87 m. ü. NHN",,,
 LYCHENER GEWÄSSER,,,,,,,,,,,,,,
HIMMELPFORT UP,,581120,"0,25",,"51,00 m. ü. NHN",23.11.2024,,5:00,,56 cm,"51,56 m. ü. NHN",,,
HIMMELPFORT OP,,581110,"0,30",,"51,00 m. ü. NHN",23.11.2024,,5:00,,184 cm,"52,84 m. ü. NHN",,,
 LÜHE,,,,,,,,,,,,,,
HORNEBURG,,5960020,"0,25",,"-5,03 m. ü. NHN",23.11.2024,,5:03,,580 cm,"0,77 m. ü. NHN",,,
 MAIN,,,,,,,,,,,,,,
RAUNHEIM,,24900108,"12,21",,"82,88 m. ü. NHN",23.11.2024,,5:00,,145 cm,"84,33 m. ü. NHN",,,
FRANKFURT OSTHAFEN,,24700404,"37,59",,"90,63 m. ü. NHN",23.11.2024,,5:00,,174 cm,"92,37 m. ü. NHN",,,
KROTZENBURG,,24700335,"63,23",,"98,11 m. ü. NHN",23.11.2024,,5:00,,127 cm,"99,38 m. ü. NHN",,,
MAINFLINGEN,,24700325,"76,43",,"101,12 m. ü. NHN",23.11.2024,,5:00,,98 cm,"102,11 m. ü. NHN",,,
OBERNAU,,24700302,"92,39",,"107,78 m. ü. NHN",23.11.2024,,5:00,,136 cm,"109,14 m. ü. NHN",,,
KLEINHEUBACH,,24700200,"121,70",,"119,60 m. ü. NHN",23.11.2024,,5:00,,154 cm,"121,14 m. ü. NHN",,,
FAULBACH,,24700109,"146,60",,"128,26 m. ü. NHN",23.11.2024,,5:00,,158 cm,"129,84 m. ü. NHN",,,
WERTHEIM,,24709089,"156,96",,"132,84 m. ü. NHN",23.11.2024,,5:00,,142 cm,"134,25 m. ü. NHN",,,
STEINBACH,,24500100,"200,52",,"146,30 m. ü. NHN",23.11.2024,,5:00,,169 cm,"147,99 m. ü. NHN",,,
WÜRZBURG,,24300600,"251,97",,"164,51 m. ü. NHN",23.11.2024,,5:00,,178 cm,"166,29 m. ü. NHN",,,
ASTHEIM,,24300406,"311,22",,"189,46 m. ü. NHN",23.11.2024,,5:00,,167 cm,"191,13 m. ü. NHN",,,
SCHWEINFURT NEUER HAFEN,,24300304,"330,78",,"201,12 m. ü. NHN",23.11.2024,,5:00,,221 cm,"203,33 m. ü. NHN",,,
TRUNSTADT,,24300202,"378,44",,"223,36 m. ü. NHN",23.11.2024,,5:00,,171 cm,"225,06 m. ü. NHN",,,
 MAIN-DONAU-KANAL,,,,,,,,,,,,,,
BAMBERG,,24300042,"7,31",,"228,50 m. ü. NN",23.11.2024,,5:00,,253 cm,"231,03 m. ü. NN",,,
RIEDENBURG_UP,,13409200,"151,20",,"342,60 m. ü. NN",23.11.2024,,4:00,,405 cm,"346,65 m. ü. NN",,,
 MALZER KANAL,,,,,,,,,,,,,,
LIEBENWALDE UP,,581550,"43,26",,"36,12 m. ü. NHN",23.11.2024,,5:00,,131 cm,"37,43 m. ü. NHN",,,
LIEBENWALDE OP,,581540,"45,33",,"36,12 m. ü. NHN",23.11.2024,,5:00,,300 cm,"39,12 m. ü. NHN",,,
 MITTELLANDKANAL,,,,,,,,,,,,,,
HÖRSTEL,,31010010,"0,60",,,23.11.2024,,4:00,,,"50,37 m+NN",,,
RECKE,,31010011,"12,60",,,23.11.2024,,4:00,,,"50,36 m+NN",,,
BRAMSCHE,,31010020,"31,95",,,23.11.2024,,4:00,,,"50,33 m+NN",,,
BROXTEN,,31010032,"47,43",,,23.11.2024,,4:00,,,"50,84 m+NN",,,
BAD ESSEN,,31010030,"60,80",,,23.11.2024,,4:00,,,"50,35 m+NN",,,
LÜBBECKE,,31010031,"80,10",,,23.11.2024,,4:00,,,"50,32 m+NN",,,
HAHLEN,,31010041,"98,09",,,23.11.2024,,4:00,,,"50,30 m+NN",,,
BERENBUSCH,,31010042,"106,73",,,23.11.2024,,4:00,,,"50,31 m+NN",,,
RUSBEND,,31010043,"112,16",,,23.11.2024,,4:00,,,"49,40 m+NN",,,
NIENBRÜGGE,,31010044,"126,70",,,23.11.2024,,4:00,,,"50,33 m+NN",,,
RODENBERGER AUE-WEST,,31010052,"132,68",,,23.11.2024,,4:00,,,"50,37 m+NN",,,
RODENBERGER AUE-OST,,31010051,"133,55",,,23.11.2024,,4:00,,,"50,30 m+NN",,,
LOHNDE,,31010050,"150,10",,,23.11.2024,,4:00,,,"50,34 m+NN",,,
HANN. LIST,,31010062,"163,56",,,23.11.2024,,4:00,,,"50,38 m+NN",,,
ANDERTEN UW,,31010060,"173,43",,,23.11.2024,,4:00,,,"50,42 m+NN",,,
ANDERTEN OW,,31010061,"174,96",,,23.11.2024,,4:00,,,"65,11 m+NN",,,
SEHNDE,,31010070,"183,58",,,23.11.2024,,4:00,,,"65,10 m+NN",,,
MEHRUM,,31010071,"192,56",,,23.11.2024,,4:00,,,"65,06 m+NN",,,
THUNE,,31010080,"222,85",,,23.11.2024,,4:00,,,"65,11 m+NN",,,
SÜLFELD OW,,31010092,"235,70",,,23.11.2024,,4:00,,,"65,24 m+NN",,,
SÜLFELD UW,,31010091,"238,00",,,23.11.2024,,4:00,,,"56,16 m+NN",,,
VORSFELDE,,31010090,"249,12",,,23.11.2024,,4:00,,,"56,11 m+NN",,,
RÜHEN,,31010093,"256,10",,,23.11.2024,,4:00,,,"56,13 m+NN",,,
VELSDORF,,3101012,"283,10",,"-0,03 m. ü. NHN",23.11.2024,,5:00,,5613 cm,"56,10 m. ü. NHN",,,
HALDENSLEBEN,,3101013,"300,90",,,23.11.2024,,4:00,,,"56,17 m+NN",,,
KANALBRÜCKE,,3101018,"321,33",,"-0,03 m. ü. NHN",23.11.2024,,5:00,,5612 cm,"56,09 m. ü. NHN",,,
 MOSEL,,,,,,,,,,,,,,
KOBLENZ UP,,26900900,"1,90",,"58,01 m. ü. NHN",23.11.2024,,5:00,,318 cm,"61,19 m. ü. NHN",,,
LEHMEN UP,,26900700,"20,40",,"63,08 m. ü. NHN",23.11.2024,,5:00,,458 cm,"67,66 m. ü. NHN",,,
MÜDEN UP,,26900500,"36,80",,"70,52 m. ü. NHN",23.11.2024,,5:00,,463 cm,"75,15 m. ü. NHN",,,
COCHEM,,26900400,"51,60",,"77,03 m. ü. NHN",23.11.2024,,5:00,,375 cm,"80,78 m. ü. NHN",,,
FANKEL UP,,26900300,"58,90",,"77,02 m. ü. NHN",23.11.2024,,5:00,,498 cm,"82,00 m. ü. NHN",,,
SANKT ALDEGUND UP,,26900100,"78,10",,"84,02 m. ü. NHN",23.11.2024,,5:00,,477 cm,"88,79 m. ü. NHN",,,
ENKIRCH UP,,26700900,"102,60",,"91,02 m. ü. NHN",23.11.2024,,4:45,,485 cm,"95,87 m. ü. NHN",,,
ZELTINGEN UP,,26700600,"123,40",,"98,50 m. ü. NN",23.11.2024,,5:00,,432 cm,"102,82 m. ü. NN",,,
WINTRICH UP,,26700400,"141,10",,"104,50 m. ü. NHN",23.11.2024,,5:00,,409 cm,"108,59 m. ü. NHN",,,
DETZEM UP,,26700200,"165,40",,"112,00 m. ü. NHN",23.11.2024,,5:00,,434 cm,"116,34 m. ü. NHN",,,
RUWER,,26500150,"185,94",,"121,00 m. ü. NN",23.11.2024,,5:00,,316 cm,"124,16 m. ü. NN",,,
TRIER UP,,26500100,"195,30",,"121,00 m. ü. NN",23.11.2024,,5:00,,408 cm,"125,08 m. ü. NN",,,
GREVENMACHER UP,,26100200,"212,50",,,23.11.2024,,5:00,,294 cm,,,,
WINCHERINGEN,,26100140,"222,20",,"134,50 m. ü. NN",23.11.2024,,5:00,,246 cm,"136,96 m. ü. NN",,,
STADTBREDIMUS UP,,26100130,"229,44",,,23.11.2024,,4:30,,301 cm,,,,
PERL,,26100100,"241,80",,"138,50 m. ü. NN",23.11.2024,,5:00,,280 cm,"141,30 m. ü. NN",,,
 MÜGGELSPREE,,,,,,,,,,,,,,
GROSSE TRÄNKE WEHR UP,,582670,"44,91",,"34,79 m. ü. NHN",23.11.2024,,5:00,,144 cm,"36,23 m. ü. NHN",,,
GROSSE TRÄNKE WEHR OP,,582660,"45,03",,"34,79 m. ü. NHN",23.11.2024,,5:00,,213 cm,"36,92 m. ü. NHN",,,
 MÜRITZ-ELDE-WASSERSTRASSE,,,,,,,,,,,,,,
DÖMITZ UP,,596460,"0,90",,"10,72 m. ü. NHN",23.11.2024,,5:00,,113 cm,"11,85 m. ü. NHN",,,
DÖMITZ OP,,596450,"1,00",,"13,38 m. ü. NHN",23.11.2024,,5:00,,131 cm,"14,69 m. ü. NHN",,,
NEU KALLISS OP,,596430,"4,97",,"15,47 m. ü. NHN",23.11.2024,,5:00,,122 cm,"16,69 m. ü. NHN",,,
FINDENWIRUNSHIER OP,,596410,"5,84",,"17,74 m. ü. NHN",23.11.2024,,5:00,,101 cm,"18,75 m. ü. NHN",,,
MALLISS UP,,596400,"9,43",,"17,74 m. ü. NHN",23.11.2024,,5:00,,102 cm,"18,76 m. ü. NHN",,,
MALLISS OP,,596390,"9,51",,"19,73 m. ü. NHN",23.11.2024,,5:00,,98 cm,"20,71 m. ü. NHN",,,
ELDENA OP,,596370,"18,00",,"21,46 m. ü. NHN",23.11.2024,,5:00,,101 cm,"22,47 m. ü. NHN",,,
GÜRITZ OP,,596350,"22,80",,"24,76 m. ü. NHN",23.11.2024,,5:00,,99 cm,"25,75 m. ü. NHN",,,
GRABOW OP,,596330,"30,85",,"26,67 m. ü. NHN",23.11.2024,,5:00,,101 cm,"27,68 m. ü. NHN",,,
KLEIN LAASCH WEHR OP,,596300,"42,72",,"29,91 m. ü. NHN",23.11.2024,,5:00,,103 cm,"30,94 m. ü. NHN",,,
NEUSTADT GLEWE OP,,596280,"46,20",,"32,10 m. ü. NHN",23.11.2024,,5:00,,103 cm,"33,13 m. ü. NHN",,,
LEWITZ OP,,596250,"50,60",,"35,79 m. ü. NHN",23.11.2024,,5:00,,100 cm,"36,79 m. ü. NHN",,,
GARWITZ UP,,596230,"60,66",,"35,79 m. ü. NHN",23.11.2024,,5:00,,103 cm,"36,82 m. ü. NHN",,,
MALCHOW WEHR OP,,596200,"65,20",,"39,73 m. ü. NHN",23.11.2024,,3:00,,96 cm,"40,69 m. ü. NHN",,,
PARCHIM GÜTE,,5961801,"72,57",,"42,81 m. ü. NHN",23.11.2024,,5:00,,99 cm,"43,80 m. ü. NHN",,,
NEUBURG OP,,596160,"83,36",,"46,61 m. ü. NHN",23.11.2024,,5:00,,111 cm,"47,72 m. ü. NHN",,,
BUROW,,5961601,"88,39",,"45,04 m. ü. NHN",23.11.2024,,3:00,,59 cm,"45,63 m. ü. NHN",,,
LÜBZ OP,,596140,"98,98",,"49,55 m. ü. NHN",23.11.2024,,5:00,,102 cm,"50,57 m. ü. NHN",,,
BOBZIN OP,,596120,"103,80",,"56,46 m. ü. NHN",23.11.2024,,5:00,,105 cm,"57,51 m. ü. NHN",,,
BARKOW OP,,596100,"114,09",,"59,67 m. ü. NHN",23.11.2024,,5:00,,107 cm,"60,74 m. ü. NHN",,,
PLAU UP,,596090,"120,00",,"59,67 m. ü. NHN",23.11.2024,,5:00,,110 cm,"60,77 m. ü. NHN",,,
PLAU OP,,596080,"120,08",,"60,15 m. ü. NHN",23.11.2024,,5:00,,192 cm,"62,07 m. ü. NHN",,,
WAREN,,596030,"151,97",,"60,16 m. ü. NHN",23.11.2024,,5:00,,193 cm,"62,09 m. ü. NHN",,,
 MÜRITZ-HAVEL-WASSERSTRASSE,,,,,,,,,,,,,,
MIROW UP,,581010,"22,89",,"57,55 m. ü. NHN",23.11.2024,,5:00,,139 cm,"58,94 m. ü. NHN",,,
MIROW OP,,581000,"23,09",,"60,16 m. ü. NHN",23.11.2024,,5:00,,194 cm,"62,10 m. ü. NHN",,,
 NECKAR,,,,,,,,,,,,,,
MANNHEIM NECKAR,,23800900,"3,10",,"84,79 m. ü. NHN",23.11.2024,,5:00,,278 cm,"87,57 m. ü. NHN",,,
HEIDELBERG UP,,23800760,"26,10",,"103,22 m. ü. NHN",23.11.2024,,5:00,,210 cm,"105,32 m. ü. NHN",,,
ROCKENAU SKA,,23800690,"60,70",,"119,71 m. ü. NHN",23.11.2024,,5:00,,225 cm,"121,96 m. ü. NHN",,,
GUNDELSHEIM UP,,23800620,"93,80",,"136,60 m. ü. NHN",23.11.2024,,5:00,,233 cm,"138,93 m. ü. NHN",,,
HORKHEIM SCHLEUSE UP,,23800557,"117,44",,"152,00 m. ü. NHN",23.11.2024,,5:00,,210 cm,"154,10 m. ü. NHN",,,
HORKHEIM WEHR UP,,23800520,"119,80",,"152,00 m. ü. NHN",23.11.2024,,5:00,,255 cm,"154,55 m. ü. NHN",,,
LAUFFEN SCHLEUSE UP,,23800501,"125,09",,"159,37 m. ü. NHN",23.11.2024,,5:00,,214 cm,"161,51 m. ü. NHN",,,
LAUFFEN,,23800500,"125,43",,"159,37 m. ü. NHN",23.11.2024,,5:00,,248 cm,"161,86 m. ü. NHN",,,
BESIGHEIM SCHLEUSE UP,,23800480,"136,16",,"167,75 m. ü. NHN",23.11.2024,,4:45,,221 cm,"169,96 m. ü. NHN",,,
BESIGHEIM SKA,,23800460,"136,28",,"167,75 m. ü. NHN",23.11.2024,,5:00,,220 cm,"169,95 m. ü. NHN",,,
BESIGHEIM WEHR UP,,23800440,"136,90",,"167,75 m. ü. NHN",23.11.2024,,4:45,,221 cm,"169,96 m. ü. NHN",,,
HESSIGHEIM SCHLEUSE UP,,23800420,"142,90",,"174,06 m. ü. NHN",23.11.2024,,4:45,,208 cm,"176,14 m. ü. NHN",,,
PLEIDELSHEIM SCHLEUSE UP,,23800400,"150,02",,"180,23 m. ü. NHN",23.11.2024,,5:00,,218 cm,"182,41 m. ü. NHN",,,
BEIHINGEN WEHR UP,,23800360,"154,30",,"180,23 m. ü. NHN",23.11.2024,,5:00,,455 cm,"184,78 m. ü. NHN",,,
MARBACH SCHLEUSE UP,,23800322,"157,55",,"188,28 m. ü. NHN",23.11.2024,,4:45,,225 cm,"190,53 m. ü. NHN",,,
MARBACH WEHR UP,,23800320,"158,93",,"188,28 m. ü. NHN",23.11.2024,,4:45,,238 cm,"190,66 m. ü. NHN",,,
POPPENWEILER SCHLEUSE UP,,23800300,"164,72",,"194,27 m. ü. NHN",23.11.2024,,4:45,,214 cm,"196,41 m. ü. NHN",,,
ALDINGEN SCHLEUSE UP,,23800280,"171,92",,"201,28 m. ü. NHN",23.11.2024,,4:45,,214 cm,"203,42 m. ü. NHN",,,
HOFEN SCHLEUSE UP,,23800260,"176,03",,"204,88 m. ü. NHN",23.11.2024,,4:45,,218 cm,"207,06 m. ü. NHN",,,
CANNSTATT SCHLEUSE UP,,23800240,"182,70",,"211,79 m. ü. NHN",23.11.2024,,4:45,,217 cm,"213,96 m. ü. NHN",,,
UNTERTÜRKHEIM SCHLEUSE UP,,23800220,"186,20",,"217,09 m. ü. NHN",23.11.2024,,4:45,,214 cm,"219,23 m. ü. NHN",,,
OBERTÜRKHEIM SCHLEUSE UP,,23800200,"189,41",,"220,74 m. ü. NHN",23.11.2024,,4:45,,211 cm,"222,85 m. ü. NHN",,,
ESSLINGEN SCHLEUSE UP,,23800180,"193,91",,"229,09 m. ü. NHN",23.11.2024,,4:45,,215 cm,"231,24 m. ü. NHN",,,
ESSLINGEN WEHR OP,,23800176,"194,10",,"234,29 m. ü. NHN",23.11.2024,,5:00,,208 cm,"236,37 m. ü. NHN",,,
OBERESSLINGEN SCHLEUSE UP,,23800145,"194,76",,"234,29 m. ü. NHN",23.11.2024,,5:00,,202 cm,"236,31 m. ü. NHN",,,
OBERESSLINGEN WEHR UP,,23800140,"196,46",,"234,29 m. ü. NHN",23.11.2024,,5:00,,206 cm,"236,35 m. ü. NHN",,,
DEIZISAU SCHLEUSE UP,,23800120,"199,49",,"240,20 m. ü. NHN",23.11.2024,,4:45,,213 cm,"242,33 m. ü. NHN",,,
PLOCHINGEN,,23800100,"202,56",,"245,86 m. ü. NHN",23.11.2024,,5:00,,160 cm,"247,46 m. ü. NHN",,,
 NEUHAUSER SPEISEKANAL,,,,,,,,,,,,,,
NEUHAUS OP,,585850,"2,70",,"38,82 m. ü. NHN",23.11.2024,,5:00,,214 cm,"40,96 m. ü. NHN",,,
NEUHAUS UP,,585860,"2,77",,"38,82 m. ü. NHN",23.11.2024,,5:00,,92 cm,"39,74 m. ü. NHN",,,
 NIEGRIPPER VERBINDUNGSKANAL,,,,,,,,,,,,,,
NIEGRIPP BP,,587500,"0,59",,"34,41 m. ü. NHN",22.11.2024,,22:00,,307 cm,"37,48 m. ü. NHN",,,
 NORD-OSTSEE-KANAL,,,,,,,,,,,,,,
AWK STROHBRÜCK,,5970069,"0,89",,"0,00 m. ü. NHN",23.11.2024,,5:03,,652 cm,"6,52 m. ü. NHN",,,
NOK BRUNSBÜTTEL,,5970091,"2,12",,"-5,00 m. ü. NHN",23.11.2024,,5:03,,503 cm,"0,03 m. ü. NHN",,,
NOK DÜKERSWISCH,,5970085,"21,50",,"-5,00 m. ü. NHN",23.11.2024,,5:03,,499 cm,"-0,01 m. ü. NHN",,,
NOK BREIHOLZ,,5970075,"48,50",,"-5,00 m. ü. NHN",23.11.2024,,5:03,,496 cm,"-0,04 m. ü. NHN",,,
NOK RENDSBURG,,5970074,"63,50",,"-5,00 m. ü. NHN",23.11.2024,,5:03,,486 cm,"-0,14 m. ü. NHN",,,
NOK KÖNIGSFÖRDE,,5970067,"79,63",,"-5,00 m. ü. NHN",23.11.2024,,5:03,,488 cm,"-0,12 m. ü. NHN",,,
NOK KIEL BINNEN,,5979020,"97,76",,,23.11.2024,,5:03,,492 cm,,,,
NOK KIEL AUSSEN,,5650068,"98,13",,,23.11.2024,,5:03,,509 cm,,,,
 NORDSEE,,,,,,,,,,,,,,
HELGOLAND BINNENHAFEN,,9510070,"0,00",,"-5,02 m. ü. NHN",23.11.2024,,5:03,,646 cm,"1,45 m. ü. NHN",,,
PELLWORM ANLEGER,,9550021,"0,00",,"-5,03 m. ü. NHN",23.11.2024,,5:03,,690 cm,"1,87 m. ü. NHN",,,
WITTDÜN,,9570010,"0,00",,"-5,02 m. ü. NHN",23.11.2024,,5:03,,662 cm,"1,59 m. ü. NHN",,,
BORKUM FISCHERBALJE,,9340020,"83,50",,"-5,04 m. ü. NHN",23.11.2024,,5:03,,611 cm,"1,07 m. ü. NHN",,,
BORKUM SÜDSTRAND,,9340030,"89,23",,"-5,02 m. ü. NHN",23.11.2024,,5:03,,593 cm,"0,91 m. ü. NHN",,,
HELGOLAND SÜDHAFEN,,9510075,"100,00",,"-5,01 m. ü. NHN",23.11.2024,,5:03,,643 cm,"1,42 m. ü. NHN",,,
BÜSUM,,9510095,"100,00",,"-5,02 m. ü. NHN",23.11.2024,,5:03,,704 cm,"2,02 m. ü. NHN",,,
HUSUM,,9530020,"100,00",,"-5,00 m. ü. NHN",23.11.2024,,5:03,,694 cm,"1,94 m. ü. NHN",,,
DAGEBÜLL,,9570040,"100,00",,"-5,00 m. ü. NHN",23.11.2024,,5:03,,648 cm,"1,48 m. ü. NHN",,,
HÖRNUM,,9570050,"100,00",,"-5,00 m. ü. NHN",23.11.2024,,5:03,,643 cm,"1,43 m. ü. NHN",,,
LIST AUF SYLT,,9570070,"100,00",,"-4,99 m. ü. NHN",23.11.2024,,5:03,,593 cm,"0,94 m. ü. NHN",,,
EIDER-SPERRWERK AP,,9530010,"109,62",,"-5,02 m. ü. NHN",23.11.2024,,5:02,,691 cm,"1,89 m. ü. NHN",,,
NORDERNEY RIFFGAT,,9360010,"159,33",,"-5,00 m. ü. NHN",23.11.2024,,5:03,,618 cm,"1,18 m. ü. NHN",,,
LANGEOOG,,9390010,"182,13",,"-5,04 m. ü. NHN",23.11.2024,,5:03,,647 cm,"1,43 m. ü. NHN",,,
SPIEKEROOG,,9410010,"194,37",,"-5,08 m. ü. NHN",23.11.2024,,5:03,,659 cm,"1,51 m. ü. NHN",,,
ZEHNERLOCH,,9510010,"733,00",,"-5,02 m. ü. NHN",23.11.2024,,5:02,,692 cm,"1,89 m. ü. NHN",,,
MITTELGRUND,,9510132,"733,70",,"-4,99 m. ü. NHN",23.11.2024,,5:03,,691 cm,"1,92 m. ü. NHN",,,
SCHARHÖRN,,9510060,"745,00",,"-5,00 m. ü. NHN",23.11.2024,,5:02,,687 cm,"1,87 m. ü. NHN",,,
BAKE A,,9510063,"755,70",,"-5,09 m. ü. NHN",23.11.2024,,5:03,,687 cm,"1,78 m. ü. NHN",,,
BAKE Z,,9510066,"755,90",,"-5,03 m. ü. NHN",23.11.2024,,5:03,,681 cm,"1,78 m. ü. NHN",,,
 OBERE HAVEL-WASSERSTRASSE,,,,,,,,,,,,,,
BISCHOFSWERDER UP,,581530,"4,20",,"37,81 m. ü. NHN",23.11.2024,,5:00,,133 cm,"39,14 m. ü. NHN",,,
BISCHOFSWERDER OP,,581520,"4,50",,"37,81 m. ü. NHN",23.11.2024,,5:00,,467 cm,"42,48 m. ü. NHN",,,
ZEHDENICK UP,,580170,"15,78",,"41,24 m. ü. NHN",23.11.2024,,5:00,,129 cm,"42,53 m. ü. NHN",,,
